name,feastDay,knownFor,patronOf,dates,origin,gender,traits,quotes,title,associatedDates,lived,bio,funFact
"St. Frances of Rome","March 9","Founding the Oblates of Mary and serving the poor in Rome.","unlikely marriages, widows, and families","","Italy","Female","devout; compassionate; mystical; determined; servant-hearted","The things of this world are not worth a single tear shed for love of God.; In the midst of all my troubles I trust in Your divine providence.; It is not the greatness of our actions, but the love with which we do them that matters.","","","1384-1440","St. Frances of Rome was a devout woman who dedicated her life to helping the needy in the streets of Rome. Despite personal trials, including the loss of her husband, she remained steadfast in her faith and service. She founded a religious community and was known for her mystical visions and deep spirituality.","St. Frances of Rome was also known for her love of animals and for having a deep bond with her pet donkey."
"St. John Ogilvie","March 10","A Scottish Jesuit martyr known for his courage in the face of persecution.","Scotland, Jesuits","","Scotland","Male","brave; devout; compassionate; determined; inspiring","I die for God and the Catholic Church.; God has given me strength; I do not fear any man.; Faithful service is my greatest joy.","","","1579-1615","St. John Ogilvie was a Jesuit priest who returned to Scotland during a time of severe anti-Catholic sentiment. He dedicated his life to the pastoral care of the faithful, enduring imprisonment and torture for his beliefs. Ultimately, he was hanged in 1615, becoming a symbol of steadfast faith and commitment to the Gospel.","St. John Ogilvie is the only post-Reformation Scot to be canonized as a saint."
"St. Eulogius of Toledo","March 11","He is known for his commitment to the faith during the period of Muslim rule in Spain.","Toledo, Spain","","Spain","Male","devout; courageous; intellectual; compassionate; inspiring","The more one serves God, the more one learns to love Him.; Martyrdom is the ultimate demonstration of faith.; To die for Christ is to live eternally with Him.","","","d. 859","St. Eulogius was a cleric and theologian who played a pivotal role in the defense of Christianity in 9th-century Spain. He was arrested for his outspoken faith and ultimately martyred for refusing to renounce his beliefs. His writings and his ultimate sacrifice inspired many Christians during a turbulent time in the history of the Church in Spain.","St. Eulogius is often regarded as one of the earliest theologians to write about the implications of martyrdom."
"St. Euphrasia","March 13","Known for her deep piety and commitment to monastic life.","nuns, widows","","Eastern Roman Empire","Female","devout; humble; compassionate; wise; resilient","He who wishes for anything but Christ does not know what he wishes for.; It is not the position that humbles us, but the spirit we carry within us.; In every trial, God gives us the grace we need.","","","d. 410","St. Euphrasia was a noted abbess in the early Christian church, recognized for her extraordinary devotion and leadership among her fellow sisters. She led her community with grace and humility, guiding them in a life of prayer and service. Her legacy continues to inspire many in their spiritual journeys.","St. Euphrasia is often depicted in art with a lily, symbolizing purity and chastity."
"St. Matilda","March 14","Matilda was known for her piety and her role in promoting the welfare of her family and the church.","parents, widows","","Germany","Female","compassionate; noble; devout; resilient; dedicated","Let us trust in God and not grow weary.; The faithful love and loyalty of a mother surpasses all.; In the face of adversity, remain steadfast in faith.","","","d. 968","St. Matilda was a noblewoman who became the queen consort of Henry I of Germany. She devoted her life to acts of charity and was instrumental in the founding of monasteries. Her legacy endures through her steadfast commitment to faith and community service.","St. Matilda was known for her deep compassion, helping the poor and caring for the sick in her community."
"St. Abraham","March 16","He is known for his piety and the miracles attributed to him during his lifetime.","new converts, monks","","Syria","Male","devout; compassionate; ascetic; inspirational; humble","Faith is the light that guides us through the darkness.; The truest form of love is found in selflessness.; In the silence of prayer, we find the voice of the Almighty.","","","d. 586","St. Abraham was a monastic leader who dedicated his life to the service of God and the nurturing of his fellow believers. He was renowned for his ascetic lifestyle and the miraculous healings he performed. His legacy continues to inspire those seeking a deeper spiritual life and commitment to faith.","St. Abraham was known to have had a close friendship with other saints of his time, fostering a network of support and mutual encouragement among early Christians."
"St. Cyril of Jerusalem","March 18","St. Cyril is known for his contributions to Christian catechesis and for his role in the development of the Nicene Creed.","Catechists, theologians, the educational system","","Jerusalem","Male","wise; dedicated; articulate; passionate; compassionate","Be attentive to your conscience, God speaks to man’s heart.; The feet of the body are no more like the feet of the soul than material things are like spiritual.; The first grace, then, is the knowledge of the Holy Spirit.","","","c. 315-387","Born in Jerusalem around 315, St. Cyril became the bishop of the city and was a prominent figure during the Arian controversy. He is best known for his thorough teachings on the sacraments and the catechism, which helped to shape the Christian faith. His commitment to the truth of the Gospel and the teachings of the Church earned him respect and honor among his peers.","St. Cyril is notably recognized for his lengthy catechetical lectures, which are still referenced in catechetical teaching today."
"St. Cuthbert","March 20","He was known for his piety and dedication to monastic life.","northumbria, shepherds, travelers, and the diocese of lindisfarne","","Northumbria","Male","devout; compassionate; humble; dedicated; inspiring","The Lord is my shepherd; there is nothing I lack.; Let us be filled with the gifts of the Holy Spirit.; Pray as if everything depended on God; work as if everything depended on you.","","","634-687","St. Cuthbert was a 7th-century monk and bishop known for his faith and miracles. He began his spiritual journey as a shepherd and later joined the monastic community at Melrose. Cuthbert's life was marked by dedication to prayer, and he became a prominent figure in the spread of Christianity in northern England.","One of the most famous legends about St. Cuthbert is that after his death, his shrine became a pilgrimage site where many miracles were reported."
"St. Enda","March 21","Founder of the monastic school of Aran Islands in Ireland.","Ireland, monks, sailors","","Ireland","Male","nurturing; wise; dedicated; humble; inspirational","The heart of a man can be his own worst prison.; True strength lies in gentleness.; Prayer is the foundation that sustains every good work.","","","d. 530","St. Enda is revered as the founder of monasticism in the Aran Islands, known for his deep spirituality and dedication to God. His influence helped establish a strong Christian presence in Ireland, fostering education and religious life throughout the region. Enda's legacy endures, inspiring countless followers through his teachings and steadfast commitment to faith.","St. Enda is said to have trained several saints, including St. Aidan and St. Nathy."
"St. Nicholas Owen","March 22","Nicholas Owen was a Jesuit priest and martyr known for his role in the English Catholic underground.","prisoners, those unjustly accused","","England","Male","brave; devout; resourceful; compassionate; loyal","The dignity of man is a divine quality.; To suffer for Christ is to share in His glory.; Love is to be shared freely, as Christ shared His love with us.","","","d. 1606","St. Nicholas Owen was a devoted layman and carpenter who worked tirelessly to support the work of the Jesuit missionaries in England. His remarkable skill in building hiding places for priests led to his eventual arrest and torture. Ultimately, he gave his life for the faith, becoming a symbol of courage and loyalty in the face of persecution.","St. Nicholas Owen was the first layperson to be sentenced to death for harboring priests in England."
"St. Emma","March 26","Known for her piety and charitable acts toward the needy.","the sick, orphans","","Germany","Female","compassionate; selfless; devout; noble; caring","Love and kindness are never wasted.; In the service of others, we find our true self.; Faith is taking the first step even when you don't see the whole staircase.","","","d. 1036","St. Emma was a noblewoman in the Holy Roman Empire, deeply beloved for her selfless devotion to helping the poor and sick. After her husband's death, she dedicated her life to Christ, often giving away her wealth to alleviate the suffering of those around her. Her unwavering faith and remarkable acts of kindness earned her the title of saint and continue to inspire acts of charity today.","St. Emma is sometimes invoked in prayers for miraculous healings due to her reputed intercessions."
"St. Rupert of Salzburg","March 27","He is known for founding the Diocese of Salzburg and spreading Christianity in the region.","Salt miners, Salzburg, Austria","","Austria","Male","dedicated; wise; charismatic; compassionate; resilient","Christ is our peace, and in Him we are saved.; The true disciple of God walks in the light, and his path shines ever brighter.; If you wish to be perfect, go, sell your possessions and give to the poor.","","","665-718","St. Rupert, the first bishop of Salzburg, is celebrated for his missionary work in the 8th century. He founded the Abbey of St. Peter in Salzburg, which became a center of learning and culture. His influence helped to establish Christianity in the Alpine region, making him a key figure in the spread of the faith in Central Europe.","St. Rupert is often depicted holding a salt cellar, reflecting his connection to the salt industry in Salzburg."
"St. Guntramnus","March 28","He is known for his pious life and contributions to the church in the face of political turmoil.","peace, reconciliation, widows","","France","Male","pious; just; humble; compassionate; dedicated","A true king is one who serves his people.; The greatest power lies in a heart that seeks to love.; Justice is the foundation upon which peace is built.","","","d. 592","St. Guntramnus was a king of the Franks who ruled with justice and sought to bring peace to his kingdom during a time of division. He was dedicated to the well-being of his people, often building churches and supporting charitable works. His legacy endures as a symbol of humility and devotion amidst power.","Despite his royal status, St. Guntramnus was known for his simple lifestyle and deep spiritual practices."
"St. Jonas","March 29","St. Jonas is known for being a saint and martyr in the early Christian Church.","martyrs, converts","","Turkey","Male","brave; devout; inspiring; steadfast; compassionate","Courage is not the absence of fear, but the triumph over it.; Faith is taking the first step even when you don't see the whole staircase.; Let your faith be bigger than your fears.","","","d. 341","St. Jonas was a devoted follower of Christ who lived during a time of persecution. He was martyred for his faith and is revered as one of the courageous early saints who stood firm in the face of adversity. His legacy continues to inspire those who seek strength in their beliefs.","St. Jonas is sometimes depicted with a bundle of arrows, symbolizing his steadfastness in faith amidst trials."
"St. John Climacus","March 30","He is known for his spiritual work, 'The Ladder of Divine Ascent', which guides Christians in their spiritual growth.","Ladder climbers, monastics","","Greece","Male","wise; ascetic; humble; devout; patient","If you wish to be rich, do not add to your gold but rather strive to diminish your desires.; The man who has true humility will not be troubled by trials.; In prayer, the soul ascends, and in silence it learns.","","","c. 579-649","St. John Climacus, a prominent 7th-century monk, dedicated his life to the pursuit of spiritual perfection. He is best known for his writings that provide insight into the ascetic life and the path to holiness. His teachings continue to inspire and guide believers in their spiritual journeys today.","St. John Climacus is revered in both the Eastern Orthodox and Roman Catholic traditions, illustrating his broad impact on Christian spirituality."
"St. Benjamin","March 31","A deacon and martyr known for his unwavering faith and dedication to spreading the Gospel.","migrants, refugees, deacons","","Persia","Male","brave; compassionate; dedicated; inspiring; faithful","The glory of God is the living man; and the life of man is the vision of God.; It is better to suffer injustice than to commit it.; Faith is taking the first step even when you don’t see the whole staircase.","","","d. 424","St. Benjamin was a deacon who courageously preached Christianity during a time of persecution. He was captured and subsequently martyred for his faith, serving as an inspiration to many. His steadfast commitment to his beliefs continues to resonate with those who advocate for social justice and human rights.","St. Benjamin is often portrayed with a scroll, representing his role in spreading the message of the Gospel."
"St. Hugh of Grenoble","April 1","He is recognized for his role in the reform of the Church and the establishment of the Carthusian Order.","sick people, purgatory, and gravediggers","","France","Male","compassionate; wise; humble; dedicated; ascetic","The Lord has given the world to all who dwell in it, but He has shared it with none so that all can have their own.; Let us where we are put be servants, and in whatever circumstances we be found, let us serve.; The love of God is the beginning of all good; without this there is no hope.","","","d. 1132","St. Hugh of Grenoble was a 12th-century bishop known for his profound dedication to the Church and a life of asceticism. He was instrumental in the founding of the Grande Chartreuse, home of the Carthusian monks, emphasizing a life of solitude and prayer. His compassionate leadership and commitment to education left a lasting impact on the Christian community in his time.","St. Hugh is often depicted with a swan, reflecting a legend of his friendship with the bird."
"St. Marcellinus","April 6","St. Marcellinus is known for being a Pope and for his martyrdom during the persecution of Christians under Emperor Diocletian.","prisoners, those suffering from fevers","","Italy","Male","courageous; compassionate; resilient; devout; wise","The blood of martyrs is the seed of the Church.; Stand firm in your faith; do not allow fear to quench your spirit.; Let charity govern all your actions.","","","d. 304","St. Marcellinus served as Pope at a time of great turmoil for Christians in the Roman Empire. He was eventually arrested and executed for his faith, becoming a symbol of courage and steadfastness. His legacy continues to inspire those who face persecution for their beliefs.","St. Marcellinus is often associated with miraculous healings attributed to his intercession."
"St. Julia","April 8","Martyrdom for her Christian faith during the persecution of Christians in North Africa.","abandoned children, exiles, martyrs","","North Africa","Female","courageous; faithful; compassionate; determined; inspiring","The more you are in the spirit of Christ, the more everything happens without your knowing it.; Let your love be sincere; hate what is evil, hold fast to what is good.; In faith, we must, all our lives, be ever ready to please God.","","","d. 304","St. Julia was a young Christian woman who showed remarkable courage by refusing to renounce her faith despite persecution. She was captured by the Romans and endured various tortures before ultimately being martyred. Her steadfastness and bravery inspire many in their faith journey.","St. Julia is often depicted with a palm branch, symbolizing her martyrdom and victory over persecution."
"St. William of Eskhill","April 9","William was a devoted hermit known for his ascetic life and deep spirituality.","hermits, ascetics","","Scotland","Male","spiritual; devout; ascetic; wise; compassionate","Prayer is the root of all virtues.; In silence, the heart finds its truest peace.; To embody love is to be in the presence of God.","","","d. 1214","St. William of Eskhill was a revered hermit who dedicated his life to prayer and contemplation in the wilderness. Through his rigorous ascetic practices, he sought to grow closer to God and inspire others toward holiness. His legacy of devotion continues to inspire many on the path of spiritual growth.","He is remembered for living in a cave and only venturing into nearby communities to share his wisdom and counsel."
"St. Magdalen of Canossa","April 10","Founding the Canossian Daughters of Charity.","education, young girls, the poor","","Italy","Female","compassionate; dedicated; resilient; humble; determined","To love is to give oneself without reserve.; Our heart must be open to all and especially to those who most need us.; In every circumstance, do the will of God with love.","","","1774-1835","St. Magdalen of Canossa was an Italian nun and the founder of a religious order dedicated to the spiritual and educational needs of the poor and marginalized. She devoted her life to serving others, establishing several schools and residences throughout Italy. Her legacy continues through the Canossian Sisters, who continue her mission of charity and education around the world.","She was inspired to serve the poor after witnessing the struggles of the less fortunate in her hometown of Verona."
"St. Albert the Great","April 12","He was a pioneering philosopher and scientist, particularly in the fields of natural science.","scientists, philosophers, students","","Germany","Male","intelligent; curious; meticulous; dedicated; compassionate","All sciences are not only in harmony with each other, but are united and connected in a universal science.; The science of the great and the little is one.; There is no science that cannot be elevated to the level of theology.","","","1206-1280","St. Albert the Great was a German Dominican friar and bishop known for his substantial contributions to the study of nature and the integration of faith and reason. His works laid the groundwork for later scientific inquiry and influenced many thinkers, including St. Thomas Aquinas. Revered as a Doctor of the Church, he is celebrated for his extensive writings on various disciplines, including theology, philosophy, and the natural sciences.","St. Albert was the first to classify the animal kingdom and is often referred to as the forerunner of modern biology."
"St. Martin I","April 13","He is known for his steadfast resistance against the Monothelite heresy.","popes, the Papacy","","Rome, Italy","Male","courageous; resolute; compassionate; steadfast; dedicated","The church must be free.; To stand up for the truth is to stand up for Christ.; Every act of justice should reflect the love of God.","","","d. 655","St. Martin I served as pope in the 7th century and is remembered for his courageous stand against the Monothelite doctrine, which claimed that Christ had only one will. His commitment to faith led to his imprisonment and exile by the Byzantine Emperor. His martyrdom and dedication have made him a revered figure in the Catholic Church.","St. Martin I was the last pope to be recognized as a martyr by the Church until the modern era."
"St. Perfectus","April 15","St. Perfectus is recognized as one of the early martyrs of the Christian faith during the Roman Empire.","martyrs, victims of persecution","","Roman Empire","Male","courageous; faithful; inspirational; charismatic; resilient","Faith is the light that guides us through the darkness.; In suffering, we find our true strength.; We are called to love one another, even unto death.","","","d. 203","St. Perfectus was a devoted Christian who boldly proclaimed his faith in a time of intense persecution. He became a martyr for his beliefs, inspiring countless others to hold fast to their faith. His legacy endures as a symbol of courage and resilience in the face of adversity.","St. Perfectus was reportedly known for his impressive oratory skills, which drew many to the Christian faith."
"St. Apollonius","April 18","A Christian martyr known for his defense of the faith during the Roman persecutions.","apologists, martyrs","","Rome, Italy","Male","brave; intellectual; devout; inspiring; resolute","The glory of God is man fully alive.; To be a witness is to be a martyr.; Faith is taking the first step even when you don't see the whole staircase.","","","d. 185","St. Apollonius was a renowned Christian apologist in the 2nd century who bravely stood before the Roman authorities to proclaim the truth of the Gospel. He was ultimately sentenced to death for his unwavering faith and commitment to spreading Christianity. His story inspires many believers to stand firm in their convictions, even in the face of persecution.","St. Apollonius’s trial and martyrdom were well-documented, making him one of the early Christian figures whose story continues to inspire apologetics today."
"St. Albert of Montecorvino","April 19","He was a Franciscan missionary known for spreading the Gospel in the East.","missionaries, the Franciscan Order","","Italy","Male","dedicated; compassionate; intrepid; inspirational; humble","Preach the Gospel at all times; when necessary, use words.; It is in giving that we receive.; It is better to be patient than to be proud.","","","d. 1279","St. Albert of Montecorvino was a pioneering Franciscan missionary who devoted his life to evangelizing in the distant lands of Asia. He played a significant role in establishing the first Christian missions in China, where he translated religious texts into Chinese. His legacy of faith and perseverance continues to inspire missionaries worldwide.","St. Albert was known to have been the first bishop of Beijing, making significant strides in the integration of Christianity within Chinese culture."
"St. Anselm of Canterbury","April 20","He is recognized as a Doctor of the Church and a key figure in medieval theology.","theologians, philosophers, Benedictine monks","","Italy","Male","intellectual; devout; insightful; determined; humble","I do not seek to understand in order to believe, but I believe in order to understand.; Faith seeks understanding.; God cannot be called a being, but He is the being itself, for God is truth and has no mixture of error.","","","1033-1109","St. Anselm of Canterbury was an Italian Benedictine monk, philosopher, and theologian who became the Archbishop of Canterbury. He is renowned for his arguments for the existence of God and for his work in reconciling faith and reason. His pioneering thoughts laid the groundwork for later theologians and philosophers, making significant impacts on Christian thought.","Anselm is often called the 'Father of Scholasticism' due to his influential method of argumentation."
"St. Theodore of Sykeon","April 22","He is known for his ascetic life and numerous miraculous healings.","monks, ascetics, the sick","","Byzantine Empire","Male","pious; compassionate; dedicated; humble; visionary","Prayer is the mother of all virtues.; Do not lose heart; in the end, everything will be made right.; Faith is a shield that protects us in our struggles.","","","d. 613","St. Theodore of Sykeon was a Byzantine monk renowned for his piety and deep commitment to an ascetic lifestyle. He spent his life in seclusion, dedicating himself to prayer and spiritual healing, earning a reputation for performing miracles. His legacy continues to inspire those seeking holiness and devotion in the Christian faith.","He reportedly once raised a boy from the dead, showcasing his profound connection to the divine."
"St. Fidelis of Sigmaringen","April 24","A martyr and passionate preacher who dedicated his life to defending the Catholic faith against Protestant heresies.","lawyers, attorneys, and the falsely accused","","Germany","Male","devout; courageous; compassionate; articulate; selfless","The true servant of God is a great helper of the oppressed.; In all things, give glory to God.; Faith should be the foundation of all our actions.","","","1577-1622","St. Fidelis of Sigmaringen was a Capuchin friar known for his fervent preaching and the defense of the Catholic faith. He was martyred in 1622 while preaching in Switzerland, becoming a symbol of unwavering faith and dedication. His legacy inspires many in the legal profession and beyond to uphold justice and truth.","St. Fidelis was originally a lawyer before entering the priesthood, which is why he is the patron saint of lawyers."
"St. Zita","April 27","She is known for her unwavering devotion and service to her family and the poor.","servants, housewives, abuse victims","","Italy","Female","humble; compassionate; devout; diligent; gentle","A mother’s love would give her life to save her child.; I will never let the work I do be an obstacle to doing good.; The true joy of serving others is to do so with love.","","","d. 1272","St. Zita was born in Tuscany, Italy, and dedicated her life to serving her family and those in need. She worked as a servant for the wealthy Fatinelli family, embodying kindness and humility in her daily tasks. Celebrated for her virtuous life, she became a beloved saint, and her example inspires many who work in domestic service.","Despite her humble beginnings, St. Zita was known for performing miracles during her lifetime, including multiplying loaves of bread to feed the poor."
"St. Pius V","April 30","Pope who excommunicated Queen Elizabeth I and established the Tridentine Mass.","papal elections, the Catholic Church, Rome","","Italy","Male","dedicated; humble; reformist; authoritative; pious","All the good works in the world will not save us without faith.; He who would hold himself free from sin must be careful not to be too indulgent in his own affairs.; A holy life is a living faith in God.","","","1504-1572","St. Pius V was a reformist pope known for his commitment to the Council of Trent's decrees, which sought to address issues within the Church. He is most renowned for promulgating the Roman Missal, which standardized the Mass throughout the Catholic Church. His papacy was marked by significant efforts to strengthen the Catholic faith in the face of the Reformation.","St. Pius V's reforms led to the creation of the modern Roman Catholic liturgy that is still in use today."
"St. Florian","May 4","St. Florian is known as the patron saint of firefighters and chimney sweeps.","firefighters, chimney sweeps, soldiers, Poland","","Roman Empire (modern Austria)","Male","courageous; devout; benevolent; strong-willed; protective","For you, I am willing to endure all things.; It is better to suffer injustice than to commit it.; Courage and struggle are the allies of faith.","","","d. 304","St. Florian was a Roman officer who became a Christian martyr during the reign of Emperor Diocletian. He is celebrated for his steadfast faith and is often depicted emerging from flames. His legacy endures as a symbol of protection against fire and disaster.","Despite his martial background, St. Florian's enduring legacy is one of peace and safety, emphasizing protection from fire rather than warfare."
"St. Hilary of Arles","May 5","Bishop of Arles and influential Church leader in the 5th century.","Bishops, France, the religious clergy","","France","Male","compassionate; determined; authoritative; charismatic; wise","In all things, unity; in all things, charity.; The true bishop is recognized by the meekness of his spirit.; God gives us the ability to care for each other in love.","","","d. 449","St. Hilary of Arles played a significant role in the early Church as a bishop who was known for his pastoral care and efforts to combat heresy. He was a pivotal figure in the Christianization of southern Gaul and worked tirelessly to promote unity and orthodoxy among believers. His leadership and dedication to the faith have made him a revered saint in the Catholic Church.","St. Hilary was known to have been a staunch opponent of the Arian heresy, which denied the divinity of Christ."
"St. Aidan of Lindisfarne","May 6","He is known for his role in the conversion of the Northumbrians to Christianity.","Northumbria, England, missionaries","","Iona, Scotland","Male","compassionate; humble; dedicated; wisdom; gentle","There is nothing more delightful than to be in love with God.; The greatest gift one can give is to commit oneself to the good of others.; No one can have God as his Father who does not have the Church as his Mother.","","","d. 651","St. Aidan was a monk from Iona who became the first bishop of Lindisfarne. He devoted his life to spreading Christianity in northern England and established the influential monastery on Lindisfarne. Aidan's gentle approach to conversion and his care for the poor made him beloved by the people he served.","Aidan is said to have had a special bond with animals, and it is told that he often shared his meals with them."
"St. John of Beverley","May 7","Known for his role as a bishop and his contributions to the education and spiritual life of the early church in England.","York, England","","England","Male","kind; devout; educational; charismatic; compassionate","The Kingdom of God is not for those who are idle, but for those who diligently seek it.; Faith is the foundation upon which all virtues are built.; Let us strive to live in peace and proclaim the love of Christ.","","","d. 721","St. John of Beverley was an influential bishop in the early 8th century who founded a monastery and played a significant role in the formation of the church in northern England. His commitment to education helped in the spiritual growth of the community, and he was also known for his piety and miracles. Today, he is remembered for his dedication to God and his service to the people of York.","St. John of Beverley is often invoked in prayers for those who are seeking education or guidance."
"St. Michael de los Santos","May 8","He is known for his dedication to the missions in the American territories.","missionaries, the Philippines","","Spain","Male","dedicated; compassionate; charismatic; resilient; humble","Preach the Gospel at all times; when necessary, use words.; The greatest service which can be rendered to any country is to add a useful plant to its agriculture.; To serve God is to serve humanity.","","","d. 1625","St. Michael de los Santos was a Spanish priest who became a Franciscan missionary in the Philippines. He was known for his tireless work in spreading the Christian faith among the indigenous people. His life was marked by a deep commitment to his faith and an unwavering spirit of service.","St. Michael once converted an entire village by performing miraculous healings."
"St. Pacian of Barcelona","May 9","He was a bishop known for his theological writings and defense of Christian doctrine.","Barcelona, the clergy, and Christian education","","Spain","Male","devout; articulate; compassionate; scholarly; resilient","We do not lose sight of heaven; we find it everywhere.; The victory of life is the glory of patience.; To love is to be at peace with oneself and the world.","","","d. 390","St. Pacian was a prominent bishop in the late 4th century, recognized for his strong stance against heresy and his efforts to win back lapsed Christians. He authored several letters and treatises that defended the importance of the sacraments and the need for moral purity among the faithful. His influence extended beyond his diocese, as he was consulted by other bishops on matters of doctrine and church governance.","St. Pacian is remembered for his unique form of pastoral care, often corresponding with his parishioners to provide spiritual guidance."
"St. Mamertus","May 11","Being the Bishop of Vienne and advocating for festivals of penance and prayer.","earthquakes, bad weather","","France","Male","devout; compassionate; resilient; leadership; humble","Prayer is an all-powerful weapon.; We must all pray for one another, not just for ourselves.; In times of distress, turn your heart toward God.","","","d. 474","St. Mamertus was the Bishop of Vienne who is best known for instituting the Rogation Days, which were intended to ask for God's mercy in times of calamity. His dedication to prayer and penance reflects the early Church's understanding of communal needs during crises. He played a crucial role in the religious life of his community during the tumultuous times of the 5th century.","St. Mamertus is credited with the introduction of the Rogation Days in the liturgical calendar."
"St. Paschal Baylón","May 17","He is known for his deep devotion to the Eucharist and for his role as a Franciscan friar."," Eucharistic Congresses, the deaf, and cooks","","Spain","Male","devout; humble; compassionate; mystical; charitable","The Eucharist is the greatest gift of God to us.; I would rather die than be without the blessed sacrament.; In the Eucharist, we find the true life of the soul.","","","1540-1592","St. Paschal Baylón was a Spanish Franciscan who dedicated his life to serving the poor and promoting devotion to the Holy Eucharist. He is remembered for his piety and his efforts in the reform of the Franciscan order. His dedication and humility made him a beloved figure in the Church, inspiring many to a greater love for the sacrament.","According to tradition, St. Paschal had a profound mystical experience during a celebration of Mass that solidified his devotion to the Eucharist."
"St. John I","May 18","Being a pope who stood for the rights of the Church against the Arian heresy.","popes, voters, and the city of Rome","","Italy","Male","devout; courageous; compassionate; wise; faithful","For the sake of unity, we must often be willing to set aside our own preferences.; The truth does not change, even if the world around us does.; To love Christ is to love His Church.","","","d. 526","St. John I was elected pope in 523 and is remembered for his defense of Catholic doctrine during a time of great theological turmoil. He was imprisoned by the Ostrogoth king Theodoric for opposing his Arian views, leading to his death due to harsh treatment. His legacy is one of steadfast faith and commitment to the truth of the Gospel.","St. John I is one of the few popes to have been martyred for his faith."
"St. Yves","May 19","St. Yves is known for his unwavering commitment to justice and the defense of the poor.","lawyers, judges, abandoned children","","France","Male","compassionate; just; dedicated; humble; intelligent","The law should be based on the truth.; Justice is what we all seek, and the poor deserve it most.; A true lawyer should care more for justice than for his own advantage.","","","1253-1303","St. Yves, a Breton priest and lawyer, dedicated his life to serving the underprivileged and offering fair legal representation. His work emphasized the importance of compassion and integrity in legal matters. He is revered as a champion of justice and is often invoked for guidance in legal issues.","St. Yves was known to give away his fees to the needy, solidifying his reputation as a protector of the downtrodden."
"St. John Baptist de Rossi","May 23","He is known for his dedication to the spiritual and material welfare of the poor and the sick.","the sick, catechists, and the city of Genoa","","Italy","Male","compassionate; dedicated; humble; gentle; charitable","Compassion is the link between the Church and her public.; We must not only have faith, but also have a heart filled with charity.; By helping the poor, we help ourselves, for their suffering is a window to our own humanity.","","","1698-1764","St. John Baptist de Rossi was an Italian priest who dedicated his life to serving the poor and sick in the streets of Rome. He was particularly known for his deep compassion and tireless work in providing both spiritual guidance and material assistance to those in need. His legacy continues to inspire those who work in pastoral care and social justice.","St. John Baptist de Rossi was known to have a deep love for animals, often caring for stray dogs and cats during his ministry."
"St. David I of Scotland","May 24","Known for founding several monastic communities and his efforts in evangelizing Scotland.","Scotland, the Scottish royal family","","Scotland","Male","charismatic; compassionate; determined; wise; diligent","Your faith is your anchor in the storms of life.; Let us work together for the good of our neighbors.; In every challenge, there is an opportunity for growth.","","","d. 1153","St. David I was a pivotal figure in the history of Scotland, known for his dedication to the Christian faith and his influence in the establishment of the church. He played a key role in promoting ecclesiastical reforms and aided in the development of monastic life throughout the region. His legacy continues to inspire many, and he is celebrated for his contributions to the spiritual and cultural growth of Scotland.","St. David I is often credited with introducing the feudal system to Scotland."
"St. William of York","May 28","He is known for his dedication to the Church and his conflict with the powers of his time regarding his rightful position.","York, England","","York, England","Male","devout; resilient; compassionate; thoughtful; diplomatic","In all things, I have followed the truth with a sincere heart.; Let us remain steadfast in our devotion to God, even amidst trials.; The spirit of God dwells within the hearts of the faithful, guiding them with grace.","","","d. 1154","St. William of York was a Benedictine monk and later became the Archbishop of York. His life was marked by a struggle to reclaim his see against political intrigue and opposition. After his death, he was regarded as a martyr for his unwavering commitment to his faith and his flock.","St. William is one of the few individuals in history to have his feast day officially recognized by three different popes."
"St. Josemaria Escriva","May 31","Founder of Opus Dei, a personal prelature of the Catholic Church devoted to the sanctification of everyday life.","workers, secular clergy, undergraduate students","","Spain","Male","humble; determined; joyful; pastoral; visionary","Work, then, is a channel of grace.; Don't let your life be a mere period of waiting.; The family is the first school of love.","","","1902-1975","St. Josemaria Escriva was a Spanish priest who dedicated his life to encouraging people to find God in their daily activities. He founded Opus Dei in 1928, emphasizing the importance of holiness in ordinary life. His teachings inspire millions to integrate their faith into their work and family lives.","St. Josemaria Escriva loved to play with words and was known for his humorous quips, often making light of serious situations."
"St. Blandina","June 2","Blandina is known as a martyr who stood steadfast in her faith, enduring horrific torture without renouncing Christ.","martyrs, enslaved people","","France","Female","brave; resilient; faithful; compassionate; determined","I am a Christian, and I cannot sacrifice to the gods.; I feel as though I am being thrown to a wild beast, but it is my faith that gives me strength.; My body may be slain, but my spirit will rise in victory.","","","d. 177","St. Blandina was a young Christian woman who lived in the 2nd century and is remembered for her unwavering faith. During a period of intense persecution in Lyons, she faced brutal torture alongside fellow Christians but remained resolute in her beliefs. Her courage inspired many and solidified her status as a symbol of faith and perseverance.","In her trials, Blandina was so inspiring that even her captors were moved by her profound faith."
"St. Francis Caracciolo","June 4","Founder of the Congregation of the Servants of the Blessed Sacrament.","cooks, Eucharistic adoration, the sick","","Italy","Male","devout; compassionate; humble; dedicated; inspirational","Let us be one among ourselves, but first let us be one with Christ.; The sense of God is not a burden but a grace beyond compare.; In Christ, we can find all that we desire.","","","1563-1608","St. Francis Caracciolo dedicated his life to serving God through the Eucharist and showed a profound love for the Blessed Sacrament. He founded a religious order focused on the love and adoration of the Eucharist, emphasizing the importance of this sacrament in daily life. His deep spirituality and commitment to service inspired many to follow his example of faith and devotion.","St. Francis was known to perform miracles attributed to the power of the Eucharist, including healing illnesses."
